Project_category,Species,SampleID,Other_ID,Project,Model,Groups,Drug,Drug_batch,Dosage,Dosage_unit,Gender,Birth_date,Arrival_date,Arrival_age_week,Collection_date,Age_week,Strain,Cage_num,Source,Feed_site,Batch1,Comment,Time_Point,Subject_add_X,Bacteria_16s,16s_lab,Metagenome,Metagenome_lab,Metabolism,Metabolism_lab,Immunity,Path
,mice,D1070735,N35_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070735,y,Fengyuan,,,,,,
,mice,D1070736,N36_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070736,y,Fengyuan,,,,,,
,mice,D1070737,N37_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070737,y,Fengyuan,,,,,,
,mice,D1070738,N38_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070738,y,Fengyuan,,,,,,
,mice,D1070739,N39_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070739,y,Fengyuan,,,,,,
,mice,D1070740,N40_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070740,y,Fengyuan,,,,,,
,mice,D1070741,N41_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070741,y,Fengyuan,,,,,,
,mice,D1070742,N42_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070742,y,Fengyuan,,,,,,
,mice,D1070743,N43_D10,SZ-NLL-2020-002,,US_D10,LIPUS,,,,,,,,2020/7/7,,,,,,20200720-16S,,time2,D1070743,y,Fengyuan,,,,,,
,mice,D2072012,N12_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072012,y,Fengyuan,,,,,,
,mice,D2072013,N13_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072013,y,Fengyuan,,,,,,
,mice,D2072014,N14_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072014,y,Fengyuan,,,,,,
,mice,D2072015,N15_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072015,y,Fengyuan,,,,,,
,mice,D2072016,N16_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072016,y,Fengyuan,,,,,,
,mice,D2072017,N17_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072017,y,Fengyuan,,,,,,
,mice,D2072018,N18_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072018,y,Fengyuan,,,,,,
,mice,D2072019,N19_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072019,y,Fengyuan,,,,,,
,mice,D2072020,N20_D20,SZ-NLL-2020-002,,C_D20,Sham,,,,,,,,2020/7/20,,,,,,20200831-16s,,time3,D2072020,y,Fengyuan,,,,,,
